Food_Name;Energi;Protein;Karbohidrat_total;Lemak_total
Heavenly Blush;90;2;15;2.5
A&W;170;0;43;0
A&W Beef burger;342;13;39;16
A&W Burger cheeseburger;398;15;39;21
A&W burger mozza;550;25;43;33
A&W Jumbo chicken sandwich;550;30;52;25
A&W root beer;290;0;78;0
A&W Root beer float;350;2;77;5
ABC EXO milk coffe;160;8;24;24
ABC Minuman Asam Jawa;140;0;34;0
ABC Sari Kacang Hijau;160;2;36;0
Abon ayam gloria;110;7;10;5
Abon sapi gloria;130;12;12;6
Abon sapi super pedas superindo;510;26;40;27
Abon sapi superindo;140;14;60;17
Ademsari chingku;110;0;27;0
Ademsari chingku herbal tea;90;0;21;0
Ades;0;0;0;0
Agar-agar agarasa cokelat;75;0;15;0
Agar-agar agarasa stroberi;25;0;10;0
Agar-agar double swallow sun;25;0;6;0
Agar-agar nutrijell coklat;120;4;24;0
Agar-agar nutrijell plain;40;0;12;0
Agar-agar swallow globe brand;20;0;8;0
Aglio e olio;248;6;40;6
Anlene (cokelat;135;7;21;3
Aqua;0;0;62.64;0
Atomic blast;144;15;3.88;9
Auntie anne cinnamon sugar pretzel;470;8;2;12
Auntie anne garlic pretzel;350;8;84;5
Auntie anne original pretzel;340;8;65;5
Auntie anne pepperoni pretzel;480;15;65;16
Auntie anne sour cream and onion pretzel;360;9;65;5
Auntie anne sweet almond pretzel;390;8;68;6
Ayam bacem;147;13.7;74;6.7
Ayam Rica-rica;404;40.99;0.5;22.82
Baked lotus paste mooncake;191;2.78;87.2;8.66
Baked lotus paste mooncake with one egg yolk;197;3.2;25.38;11.21
Baked lotus paste mooncake with two egg yolks;223;4.05;20.79;13.79
Baked potato cheese'n cheese;430;14;20.5;13
Baked Potato Chili'n cheese;460;19;65;11
Bakmi;138;4.5;25;2.1
Bear brand;120;6;44.8;7
Beef original jerky Jack link's;80;10;32.5;1
Belvita madu dan cokelat;180;3;9.56;6
Belvita susu dan sereal;180;3;9.56;6
Bihun cap dua burung (mentah;220;3;77.1;0
Bihunku goreng spesial;230;2;71.8;4
Bihunku white curry;220;2;74.5;6
Biokul greek  yogurt;160;6;76.2;12
Biokul natural set yogurt;70;5;79.9;1
Biokul plain yogurt;90;5;22.4;0.5
Bir;153;1.64;80;0
Biskuat;45;1;71;1.5
Biskuit choco mania;100;1;4.1;4.5
Biskuit Serena broniz;100;2;87.4;5
Biskuit serena egg rolls chocolate;80;1;82.1;4.5
Biskuit WRP Everyday chocolate chip;100;1;47;5
Blue diamond almond breeze;63;1;62.7;2.8
Bolu Padimas Coklat;45;0;62.7;2.5
Bolu tape;175;2.27;62.7;0.5
Boncabe level 10;10;0;62.7;0
Boncabe level 15;10;0;62.7;0
Bonchon Bibimbap beef;1010;31;62.7;47
Bonchon Bibimbap chicken;970;27;62.7;38
Bonchon bibimbap seafood;940;36;62.7;36
Bonchon Spicy boneless;1474;170;51.1;85
Bonchon Spicy Drumsticks;1914;140;23.45;148
Bonchon Spicy wings;800;56;23.45;54
Brownie;300;4;23.45;20
Buavita Apple;110;0;8;0
Buavita Guava;130;1;11;0
Buavita Mango;130;0;9.6;0
Buavita Orange;120;0;12.1;0
Buavita royale chloro broccoli;120;0;0;0
Buavita royale sunshine carrot;120;0;80;0
Bubur beras;91;1.7;45.2;0.2
Bubur Merah Putih;72;7;35.6;1
Burger Carl's Jr california classic double cheeseburger;600;23;1.1;39
Burger Carl's Jr double western bacon cheeseburger;1010;55;10.8;55
Burger Carl's Jr famous star with cheese;670;28;58;28
Burger Carl's Jr super star with cheese;920;48;1.9;56
Burger Carl's Jr the big carl;920;47;12.6;58
Burger Carl's Jr western bacon cheeseburger;750;36;13;35
Burger cheeseburger;280;15;35;13
Burger Dave's Single;570;30;21.4;34
Burger Double stacker;950;59;7.5;62
Burger double whopper;900;48;59.6;58
Burger whopper;660;28;9.7;40
Caotina;114;1;6.04;7.4
Captain oats instan;159;5.4;6.04;3.3
Captain oats quick cook;160;5.7;6.04;3.1
Captain oats rolled oats;159;5.4;6.04;3.1
Carman's bircher muesli;421;14.7;6.04;17.1
Carman's fruit and nut;183;4.1;6.04;6.7
Carman's fruit free;190;4.5;6.04;7.4
Carman's fruit free muesli;451;14.6;6.04;19.2
Chatime hazelnut milk tea;244;1;28;10.5
Chatime hazelnut milk tea (no sugar);185;1;29;11
