food_name,food_info
permen nano nano susu,"Energi 15.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 3.00 , Jumlah Per Sajian 1.00 sachet, Protein 0.00 g, Karbohidrat total 3.00 g, Takaran Saji 4.00 g, Lemak total 0.00 g"
Heavenly Blush,"Energi 90.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 bungkus, Protein 2.00 g, Karbohidrat total 15.00 g, Takaran Saji 25.00 g, Lemak total 2.50 g"
A&W,"Energi 170.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 kaleng, Protein 0.00 g, Karbohidrat total 43.00 g, Takaran Saji 330.00 ml, Lemak total 0.00 g"
A&W Beef burger,"Energi 342.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 biji, Protein 13.00 g, Karbohidrat total 39.00 g, Takaran Saji 127.00 g, Lemak total 16.00 g"
A&W Burger cheeseburger,"Energi 398.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 biji, Protein 15.00 g, Karbohidrat total 39.00 g, Takaran Saji 144.00 g, Lemak total 21.00 g"
A&W burger mozza,"Energi 550.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 buah, Protein 25.00 g, Karbohidrat total 43.00 g, Takaran Saji 266.00 g, Lemak total 33.00 g"
A&W Jumbo chicken sandwich,"Energi 550.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 biji, Protein 30.00 g, Karbohidrat total 52.00 g, Takaran Saji 213.00 g, Lemak total 25.00 g"
A&W root beer,"Energi 290.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 gelas, Protein 0.00 g, Karbohidrat total 78.00 g, Takaran Saji 570.00 ml, Lemak total 0.00 g"
A&W Root beer float,"Energi 350.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 gelas, Protein 2.00 g, Karbohidrat total 77.00 g, Takaran Saji 570.00 ml, Lemak total 5.00 g"
ABC EXO milk coffe,"Energi 160.00 kkal, Natrium 0.00 mg, Jumlah Sajian Per Kemasan 1.00 , Jumlah Per Sajian 1.00 botol, Protein 8.00 g, Karbohidrat total 24.00 g, Takaran Saji 230.00 ml, Lemak total 24.00 g"
ABC kecap Manis,"Energi 50.00 kkal, Natrium 240.00 mg, Jumlah Sajian Per Kemasan 35.00 , Jumlah Per Sajian 0.03 bungkus, Protein 0.00 g, Karbohidrat total 12.00 g, Takaran Saji 15.00 ml, Lemak total 0.00 g"
